image,category,layers,high_count,kinds,detail
debian:12,os-base,1,0,,
debian:11,os-base,1,0,,
debian:10,os-base,1,0,,
debian:bookworm-slim,os-base,1,0,,
debian:bullseye-slim,os-base,1,0,,
ubuntu:24.04,os-base,1,0,,
ubuntu:22.04,os-base,1,0,,
ubuntu:20.04,os-base,1,0,,
alpine:3.20,os-base,1,0,,
alpine:3.19,os-base,1,0,,
alpine:3.18,os-base,1,0,,
alpine:edge,os-base,1,0,,
rockylinux:9,os-base,1,0,,
rockylinux:8,os-base,1,2,planted,"planted executable 'tmp/ks-script-4l0o387o' in data dir 'tmp/' (layer 9088cdb84e39, entropy 4.74) — executables do not belong here || planted executable 'tmp/ks-script-lryfwo67' in data dir 'tmp/' (layer 9088cdb84e39, entropy 4.51) — executables do not belong here"
almalinux:9,os-base,1,0,,
fedora:40,os-base,1,0,,
fedora:39,os-base,1,0,,
amazonlinux:2023,os-base,1,0,,
opensuse/leap:15.6,os-base,1,0,,
busybox:1.36,os-base,1,0,,
busybox:stable,os-base,1,0,,
python:3.13-slim,lang-runtime,4,0,,
python:3.12-slim,lang-runtime,4,0,,
python:3.12,lang-runtime,7,0,,
python:3.11,lang-runtime,7,0,,
python:3.11-alpine,lang-runtime,4,0,,
python:3.10-slim,lang-runtime,4,0,,
node:22-alpine,lang-runtime,4,0,,
node:20-alpine,lang-runtime,4,0,,
node:20,lang-runtime,8,0,,
node:20-slim,lang-runtime,5,0,,
node:18,lang-runtime,8,0,,
node:18-alpine,lang-runtime,4,0,,
eclipse-temurin:21-jre,lang-runtime,6,0,,
eclipse-temurin:17-jre,lang-runtime,6,0,,
golang:1.22-alpine,lang-runtime,5,0,,
golang:1.22,lang-runtime,7,0,,
golang:1.21-alpine,lang-runtime,5,0,,
ruby:3.3-slim,lang-runtime,5,0,,
ruby:3.2-alpine,lang-runtime,4,0,,
php:8.3-cli,lang-runtime,10,0,,
php:8.3-apache,lang-runtime,15,0,,
php:8.2-fpm-alpine,lang-runtime,12,0,,
rust:1.79-slim,lang-runtime,2,0,,
rust:1.78,lang-runtime,5,0,,
perl:5.40-slim,lang-runtime,5,0,,
postgres:16,database,14,0,,
postgres:16-alpine,database,11,0,,
postgres:15,database,14,0,,
postgres:15-alpine,database,11,0,,
postgres:14,database,14,0,,
mysql:8.4,database,10,0,,
mysql:8.0,database,11,0,,
mariadb:11,database,8,0,,
mariadb:10.11,database,8,0,,
redis:7-alpine,database,7,0,,
redis:7,database,7,0,,
redis:6-alpine,database,7,0,,
mongo:7,database,8,0,,
mongo:6,database,8,0,,
memcached:1.6-alpine,database,6,0,,
cassandra:5.0,database,8,0,,
influxdb:2.7,database,10,0,,
nginx:1.27-alpine,web-server,8,0,,
nginx:1.27,web-server,7,0,,
nginx:1.26-alpine,web-server,8,0,,
nginx:stable,web-server,7,0,,
httpd:2.4,web-server,6,0,,
httpd:2.4-alpine,web-server,7,0,,
caddy:2.8,web-server,5,0,,
caddy:2.8-alpine,web-server,5,0,,
traefik:3.1,web-server,4,0,,
traefik:2.11,web-server,4,0,,
haproxy:3.0-alpine,web-server,6,0,,
haproxy:2.9,web-server,6,0,,
tomcat:10.1,web-server,9,0,,
tomcat:9.0,web-server,9,0,,
rabbitmq:3.13-alpine,broker,9,0,,
rabbitmq:3.13-management,broker,10,0,,
nats:2.10-alpine,broker,4,0,,
zookeeper:3.9,infra,10,0,,
maven:3.9-eclipse-temurin-21,ci-build,9,0,,
gradle:8.9-jdk21,ci-build,10,0,,
gcc:14,ci-build,8,0,,
gcc:13,ci-build,8,0,,
docker:27-cli,ci-build,10,0,,
docker:27-dind,ci-build,16,0,,
alpine/git:latest,ci-build,3,0,,
bitnami/kubectl:latest,ci-build,1,0,,
prom/prometheus:v2.54.0,monitoring,12,0,,
prom/prometheus:v2.53.0,monitoring,12,0,,
grafana/grafana:11.1.0,monitoring,10,0,,
grafana/grafana:10.4.0,monitoring,10,0,,
grafana/loki:3.1.0,monitoring,6,0,,
telegraf:1.31,monitoring,6,0,,
fluent/fluent-bit:3.1,monitoring,19,0,,
prom/node-exporter:v1.8.2,monitoring,3,0,,
tensorflow/tensorflow:2.17.0,ml-data,12,0,,
jupyter/base-notebook:latest,ml-data,20,0,,
