sample_id,base,category,family,payload_size,entropy,whiteout_style,depth,high_count,planted,add_then_hide,detected
debian_12__whiteout_1024_low_file_d1,debian:12,os-base,whiteout,1024,low,file,1,2,1,1,1
debian_12__whiteout_1024_low_file_d4,debian:12,os-base,whiteout,1024,low,file,4,2,1,1,1
debian_12__whiteout_1024_low_opaque_d1,debian:12,os-base,whiteout,1024,low,opaque,1,1,1,0,1
debian_12__whiteout_1024_low_opaque_d4,debian:12,os-base,whiteout,1024,low,opaque,4,1,1,0,1
debian_12__appended_1024_low_-_d0,debian:12,os-base,appended,1024,low,-,0,0,0,0,0
debian_12__whiteout_1024_high_file_d1,debian:12,os-base,whiteout,1024,high,file,1,2,1,1,1
debian_12__whiteout_1024_high_file_d4,debian:12,os-base,whiteout,1024,high,file,4,2,1,1,1
debian_12__whiteout_1024_high_opaque_d1,debian:12,os-base,whiteout,1024,high,opaque,1,1,1,0,1
debian_12__whiteout_1024_high_opaque_d4,debian:12,os-base,whiteout,1024,high,opaque,4,1,1,0,1
debian_12__appended_1024_high_-_d0,debian:12,os-base,appended,1024,high,-,0,0,0,0,0
debian_12__whiteout_100000_low_file_d1,debian:12,os-base,whiteout,100000,low,file,1,2,1,1,1
debian_12__whiteout_100000_low_file_d4,debian:12,os-base,whiteout,100000,low,file,4,2,1,1,1
debian_12__whiteout_100000_low_opaque_d1,debian:12,os-base,whiteout,100000,low,opaque,1,1,1,0,1
debian_12__whiteout_100000_low_opaque_d4,debian:12,os-base,whiteout,100000,low,opaque,4,1,1,0,1
debian_12__appended_100000_low_-_d0,debian:12,os-base,appended,100000,low,-,0,0,0,0,0
debian_12__whiteout_100000_high_file_d1,debian:12,os-base,whiteout,100000,high,file,1,2,1,1,1
debian_12__whiteout_100000_high_file_d4,debian:12,os-base,whiteout,100000,high,file,4,2,1,1,1
debian_12__whiteout_100000_high_opaque_d1,debian:12,os-base,whiteout,100000,high,opaque,1,1,1,0,1
debian_12__whiteout_100000_high_opaque_d4,debian:12,os-base,whiteout,100000,high,opaque,4,1,1,0,1
debian_12__appended_100000_high_-_d0,debian:12,os-base,appended,100000,high,-,0,0,0,0,0
debian_12__whiteout_5000000_low_file_d1,debian:12,os-base,whiteout,5000000,low,file,1,2,1,1,1
debian_12__whiteout_5000000_low_file_d4,debian:12,os-base,whiteout,5000000,low,file,4,2,1,1,1
debian_12__whiteout_5000000_low_opaque_d1,debian:12,os-base,whiteout,5000000,low,opaque,1,1,1,0,1
debian_12__whiteout_5000000_low_opaque_d4,debian:12,os-base,whiteout,5000000,low,opaque,4,1,1,0,1
debian_12__appended_5000000_low_-_d0,debian:12,os-base,appended,5000000,low,-,0,0,0,0,0
debian_12__whiteout_5000000_high_file_d1,debian:12,os-base,whiteout,5000000,high,file,1,2,1,1,1
debian_12__whiteout_5000000_high_file_d4,debian:12,os-base,whiteout,5000000,high,file,4,2,1,1,1
debian_12__whiteout_5000000_high_opaque_d1,debian:12,os-base,whiteout,5000000,high,opaque,1,1,1,0,1
debian_12__whiteout_5000000_high_opaque_d4,debian:12,os-base,whiteout,5000000,high,opaque,4,1,1,0,1
debian_12__appended_5000000_high_-_d0,debian:12,os-base,appended,5000000,high,-,0,0,0,0,0
debian_11__whiteout_1024_low_file_d1,debian:11,os-base,whiteout,1024,low,file,1,2,1,1,1
debian_11__whiteout_1024_low_file_d4,debian:11,os-base,whiteout,1024,low,file,4,2,1,1,1
debian_11__whiteout_1024_low_opaque_d1,debian:11,os-base,whiteout,1024,low,opaque,1,1,1,0,1
debian_11__whiteout_1024_low_opaque_d4,debian:11,os-base,whiteout,1024,low,opaque,4,1,1,0,1
